label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity,intensity_mean
1,2604.0,43.536866359447004,334.65668202764977,16,305,72,365,0.3323402873136959,156.8083717357911
2,1653.0,50.774954627949185,155.25892316999395,28,132,74,179,0.294054818762419,169.37084089534181
3,1622.0,51.098643649815045,215.23551171393342,30,192,73,240,0.38328249448992463,157.60727496917386
4,1225.0,52.38938775510204,276.1265306122449,34,255,72,297,0.3885271118636207,154.20326530612246
5,1355.0,54.390405904059044,44.17712177121771,35,22,74,67,0.5103806064706624,167.82140221402213
6,1103.0,56.119673617407074,100.1804170444243,39,81,74,120,0.4302629491949587,184.31822302810517
7,2.0,65.0,129.5,65,129,66,131,1.0,167.0
8,1920.0,118.8109375,270.58489583333335,95,245,144,296,0.34112057477192986,158.61458333333334
9,1298.0,124.31124807395994,44.73651771956857,104,25,145,67,0.3522200765144719,190.66409861325116
10,1209.0,123.73449131513648,205.26468155500413,105,186,144,226,0.3756538385102389,171.95947063689
11,1175.0,124.50297872340425,336.1957446808511,106,317,145,356,0.24317886250699547,170.1863829787234
12,1111.0,125.63726372637264,102.2916291629163,108,84,145,122,0.3348778498908566,191.13681368136812
13,1077.0,127.21262766945217,153.53667595171774,110,134,145,173,0.46029562476237545,194.68337975858867
14,3141.0,186.66029926774914,347.04234320280165,156,315,218,380,0.2580970213176535,149.72556510665393
15,1737.0,193.08117443868738,212.42314335060448,170,189,217,237,0.2631696282766988,159.18998272884284
16,1496.0,193.60360962566844,273.52473262032083,172,251,217,297,0.41572761665769836,160.61764705882354
17,1471.0,195.56492182188987,101.69340584636302,175,80,217,124,0.2505463861496452,173.08225696804894
18,1124.0,197.4341637010676,43.69039145907473,179,26,217,63,0.3065750622775132,154.15480427046262
19,1152.0,197.74305555555554,154.13715277777777,179,135,217,174,0.23666405571466004,177.2109375
20,2461.0,259.8382771231207,45.89557090613572,233,18,288,75,0.2574727235953573,131.01503453880537
21,2350.0,261.19702127659576,172.30340425531915,236,144,288,201,0.47064975071844317,130.98851063829787
22,1993.0,263.1836427496237,300.6056196688409,239,276,289,326,0.4244521142265535,144.9839438033116
23,1765.0,263.27592067988667,243.97903682719547,240,220,288,269,0.28737036371403385,152.0300283286119
24,1416.0,265.5176553672316,113.88629943502825,245,93,287,136,0.2032153798435779,152.13135593220338
25,1485.0,267.86464646464646,358.1710437710438,248,336,289,382,0.4194956594595967,153.6161616161616
