label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity,intensity_mean
1,8.0,1.5,476.5,0,476,4,478,0.8944271909999159,186.0
2,4.0,24.5,480.5,24,480,26,482,0.0,198.0
3,32.0,32.5,53.5,28,52,38,56,0.9142595561640806,206.25
4,527.0,83.13472485768501,135.3851992409867,64,126,104,146,0.9000403297651537,214.67931688804555
5,8.0,78.5,485.5,78,484,80,488,0.8944271909999159,189.0
6,692.0,130.5592485549133,311.6604046242775,100,299,154,328,0.9118215560824163,166.58815028901734
7,4.0,150.5,56.5,150,56,152,58,0.0,175.0
8,4.0,152.5,320.5,152,320,154,322,0.0,171.0
9,8.0,155.5,8.5,154,8,158,10,0.8944271909999159,182.5
10,4.0,184.5,188.5,184,188,186,190,0.0,175.0
11,4.0,292.5,48.5,292,48,294,50,0.0,174.0
